BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
Ar                                                              
total_cross_sections_paschen_superelastic.txt
--------------------------------------------------
Ar(1s2)                                                         
total_cross_sections_paschen_superelastic.txt
--------------------------------------------------
Ar(1s3)                                                         
total_cross_sections_paschen_superelastic.txt
--------------------------------------------------
Ar(1s4)                                                         
total_cross_sections_paschen_superelastic.txt
--------------------------------------------------
Ar(1s5)                                                         
total_cross_sections_paschen_superelastic.txt
--------------------------------------------------
O2                                                              
o2_cs.txt
--------------------------------------------------
O2(0.98)                                                        
o2_cs.txt
--------------------------------------------------
O2(1.63)                                                        
o2_cs.txt
--------------------------------------------------
H2O                                                             
h2o_and_h_cs.txt
--------------------------------------------------
H                                                               
h2o_and_h_cs.txt
--------------------------------------------------
H(2p)(10.2eV)                                                   
h2o_and_h_cs.txt
--------------------------------------------------
H(2s)(10.2eV)                                                   
h2o_and_h_cs.txt
--------------------------------------------------
Hm                                                              
h2o_and_h_cs.txt
 
 
 
6.172	0.6362E+24
6.316	0.6189E+24
6.463	0.6027E+24
6.614	0.5874E+24
6.770	0.5730E+24
6.932	0.5593E+24
7.100	0.5463E+24
7.275	0.5339E+24
7.458	0.5219E+24
7.651	0.5104E+24
7.855	0.4993E+24
8.070	0.4885E+24
8.300	0.4781E+24
8.547	0.4681E+24
8.812	0.4584E+24
9.100	0.4490E+24
9.413	0.4401E+24
9.756	0.4315E+24
10.13	0.4234E+24
10.55	0.4159E+24
11.02	0.4089E+24
11.54	0.4024E+24
12.12	0.3965E+24
12.78	0.3912E+24
13.52	0.3865E+24
14.37	0.3822E+24
15.33	0.3786E+24
16.44	0.3754E+24
17.70	0.3725E+24
19.14	0.3699E+24
20.80	0.3675E+24
22.70	0.3651E+24
24.88	0.3627E+24
27.38	0.3603E+24
30.25	0.3576E+24
33.55	0.3547E+24
37.35	0.3515E+24
41.74	0.3483E+24
46.84	0.3448E+24
52.80	0.3412E+24
59.81	0.3378E+24
68.12	0.3347E+24
78.06	0.3320E+24
 
 
Energy (eV)	Diffusion coefficient *N (1/m/s)
0.6677E-01	0.9697E+24
0.7373E-01	0.1059E+25
0.7971E-01	0.1129E+25
0.8557E-01	0.1192E+25
0.9166E-01	0.1256E+25
0.9805E-01	0.1321E+25
0.1048	0.1388E+25
0.1123	0.1462E+25
0.1204	0.1534E+25
0.1295	0.1606E+25
0.1404	0.1689E+25
0.1538	0.1783E+25
0.1708	0.1886E+25
0.1932	0.2005E+25
0.2228	0.2143E+25
0.2614	0.2298E+25
0.3100	0.2469E+25
0.3686	0.2653E+25
0.4352	0.2838E+25
0.5075	0.3018E+25
0.5838	0.3191E+25
0.6618	0.3346E+25
0.7414	0.3486E+25
0.8229	0.3615E+25
0.9069	0.3729E+25
0.9948	0.3834E+25
1.290	0.3990E+25
1.371	0.4064E+25
1.461	0.4134E+25
1.560	0.4198E+25
1.669	0.4257E+25
1.789	0.4309E+25
1.918	0.4355E+25
2.058	0.4393E+25
2.208	0.4423E+25
2.368	0.4444E+25
2.534	0.4457E+25
2.713	0.4462E+25
2.903	0.4459E+25
3.102	0.4449E+25
3.307	0.4433E+25
3.517	0.4411E+25
3.728	0.4385E+25
3.937	0.4356E+25
4.140	0.4325E+25
4.337	0.4294E+25
4.524	0.4263E+25
4.702	0.4233E+25
4.871	0.4204E+25
5.031	0.4176E+25
5.184	0.4150E+25
5.332	0.4125E+25
5.475	0.4101E+25
5.615	0.4079E+25
5.753	0.4057E+25
5.892	0.4036E+25
6.031	0.4017E+25
6.172	0.3998E+25
6.316	0.3979E+25
6.463	0.3962E+25
6.614	0.3945E+25
6.770	0.3929E+25
6.932	0.3914E+25
7.100	0.3900E+25
7.275	0.3887E+25
7.458	0.3876E+25
7.651	0.3865E+25
7.855	0.3857E+25
8.070	0.3850E+25
8.300	0.3845E+25
8.547	0.3843E+25
8.812	0.3843E+25
9.100	0.3847E+25
9.413	0.3856E+25
9.756	0.3869E+25
10.13	0.3888E+25
10.55	0.3916E+25
11.02	0.3954E+25
11.54	0.4003E+25
12.12	0.4066E+25
12.78	0.4147E+25
13.52	0.4248E+25
14.37	0.4374E+25
15.33	0.4530E+25
16.44	0.4720E+25
17.70	0.4949E+25
19.14	0.5223E+25
20.80	0.5547E+25
22.70	0.5928E+25
24.88	0.6373E+25
27.38	0.6891E+25
30.25	0.7487E+25
33.55	0.8173E+25
37.35	0.8963E+25
41.74	0.9878E+25
46.84	0.1094E+26
52.80	0.1219E+26
59.81	0.1367E+26
68.12	0.1544E+26
78.06	0.1761E+26
 
 
Energy (eV)	Energy mobility *N (1/m/V/s)
0.6677E-01	0.3289E+26
0.7373E-01	0.3240E+26
0.7971E-01	0.3185E+26
0.8557E-01	0.3125E+26
0.9166E-01	0.3064E+26
0.9805E-01	0.3002E+26
0.1048	0.2937E+26
0.1123	0.2870E+26
0.1204	0.2792E+26
0.1295	0.2700E+26
0.1404	0.2598E+26
0.1538	0.2476E+26
0.1708	0.2331E+26
0.1932	0.2159E+26
0.2228	0.1966E+26
0.2614	0.1764E+26
0.3100	0.1567E+26
0.3686	0.1389E+26
0.4352	0.1237E+26
0.5075	0.1110E+26
0.5838	0.1006E+26
0.6618	0.9201E+25
0.7414	0.8470E+25
0.8229	0.7835E+25
0.9069	0.7267E+25
0.9948	0.6746E+25
1.290	0.5278E+25
1.371	0.5016E+25
1.461	0.4743E+25
1.560	0.4463E+25
1.669	0.4181E+25
1.789	0.3901E+25
1.918	0.3626E+25
2.058	0.3362E+25
2.208	0.3109E+25
2.368	0.2870E+25
2.534	0.2650E+25
2.713	0.2440E+25
2.903	0.2244E+25
3.102	0.2063E+25
3.307	0.1899E+25
3.517	0.1752E+25
3.728	0.1621E+25
3.937	0.1506E+25
4.140	0.1406E+25
4.337	0.1319E+25
4.524	0.1244E+25
4.702	0.1180E+25
4.871	0.1124E+25
5.031	0.1076E+25
5.184	0.1034E+25
5.332	0.9961E+24
5.475	0.9626E+24
5.615	0.9325E+24
5.753	0.9051E+24
5.892	0.8801E+24
6.031	0.8570E+24
6.172	0.8356E+24
6.316	0.8157E+24
6.463	0.7972E+24
6.614	0.7800E+24
6.770	0.7639E+24
6.932	0.7490E+24
7.100	0.7351E+24
7.275	0.7222E+24
7.458	0.7101E+24
7.651	0.6989E+24
7.855	0.6886E+24
8.070	0.6789E+24
8.300	0.6700E+24
8.547	0.6618E+24
8.812	0.6542E+24
9.100	0.6474E+24
9.413	0.6412E+24
9.756	0.6356E+24
10.13	0.6309E+24
10.55	0.6268E+24
11.02	0.6235E+24
11.54	0.6209E+24
12.12	0.6191E+24
12.78	0.6178E+24
13.52	0.6171E+24
14.37	0.6168E+24
15.33	0.6169E+24
16.44	0.6170E+24
17.70	0.6167E+24
19.14	0.6162E+24
20.80	0.6150E+24
22.70	0.6131E+24
24.88	0.6103E+24
27.38	0.6067E+24
30.25	0.6024E+24
33.55	0.5974E+24
37.35	0.5922E+24
41.74	0.5871E+24
46.84	0.5823E+24
52.80	0.5785E+24
59.81	0.5758E+24
68.12	0.5750E+24
78.06	0.5763E+24
 
 
Energy (eV)	Energy diffusion coef. D*N (1/m/s)
0.6677E-01	0.1504E+25
0.7373E-01	0.1588E+25
0.7971E-01	0.1658E+25
0.8557E-01	0.1725E+25
0.9166E-01	0.1794E+25
0.9805E-01	0.1865E+25
0.1048	0.1939E+25
0.1123	0.2022E+25
0.1204	0.2109E+25
0.1295	0.2200E+25
0.1404	0.2312E+25
0.1538	0.2442E+25
0.1708	0.2594E+25
0.1932	0.2770E+25
0.2228	0.2965E+25
0.2614	0.3171E+25
0.3100	0.3373E+25
0.3686	0.3561E+25
0.4352	0.3726E+25
0.5075	0.3870E+25
0.5838	0.3996E+25
0.6618	0.4103E+25
0.7414	0.4197E+25
0.8229	0.4281E+25
0.9069	0.4356E+25
0.9948	0.4423E+25
